Name,Age,Location,Driving Habit,Common Routes,Vehicle Usage,Incident Report,User Interaction
Jason Huffman,68,North Katelyn,Defensive,Rural Roads,Personal,"{'incident_type': 'Maintenance', 'details': 'Though say nor prevent spring.', 'date': datetime.date(2020, 1, 13), 'service_provider': None}","{'system_settings': {'preference': 'Full Sharing', 'customizations': 'Beat possible medical lot score leave despite painting.'}, 'customer_support': {'inquiry_type': 'Data Usage', 'content': 'Board either imagine onto resource.', 'date': datetime.date(2023, 6, 19)}}"
Dylan Hamilton,36,Greerport,Safety-Conscious,Rural Roads,Personal,"{'incident_type': 'System Error', 'details': 'Mission arm seat significant center.', 'date': datetime.date(2021, 9, 30), 'service_provider': 'Torres, Jones and Walters'}","{'system_settings': {'preference': 'Balanced', 'customizations': 'Blue late challenge building.'}, 'customer_support': {'inquiry_type': 'Complaint', 'content': 'Every southern small than.', 'date': datetime.date(2023, 5, 30)}}"
Elizabeth Roberts,66,Brownmouth,Defensive,Highway,Commercial,"{'incident_type': 'Accident', 'details': 'Class social hot far stop throughout.', 'date': datetime.date(2021, 6, 5), 'service_provider': None}","{'system_settings': {'preference': 'Full Sharing', 'customizations': 'Recognize win land capital.'}, 'customer_support': {'inquiry_type': 'Privacy Concern', 'content': 'Mind reach at whole central yourself laugh.', 'date': datetime.date(2023, 6, 16)}}"
David White,37,Port Janeborough,Defensive,Mixed,Ride Share,"{'incident_type': 'System Error', 'details': 'Summer middle cup age foreign south war.', 'date': datetime.date(2021, 8, 19), 'service_provider': None}","{'system_settings': {'preference': 'Full Sharing', 'customizations': 'Child result exactly many present me feel attack.'}, 'customer_support': {'inquiry_type': 'Complaint', 'content': 'Number draw east author consider effect.', 'date': datetime.date(2023, 1, 2)}}"
Wayne Mitchell,48,Lake Davidfurt,Eco-Friendly,Highway,Ride Share,"{'incident_type': 'System Error', 'details': 'Here by his suggest.', 'date': datetime.date(2022, 5, 20), 'service_provider': None}","{'system_settings': {'preference': 'Full Sharing', 'customizations': 'Under again approach mission.'}, 'customer_support': {'inquiry_type': 'Privacy Concern', 'content': 'Level many move chair right.', 'date': datetime.date(2023, 6, 20)}}"
Gabriel Arnold,23,Katelynchester,Aggressive,Mixed,Ride Share,"{'incident_type': 'System Error', 'details': 'Force collection thank nature.', 'date': datetime.date(2023, 9, 8), 'service_provider': 'Lowery LLC'}","{'system_settings': {'preference': 'High Privacy', 'customizations': 'Particular claim data sea stay.'}, 'customer_support': {'inquiry_type': 'Feature Inquiry', 'content': 'Another morning full although.', 'date': datetime.date(2023, 3, 25)}}"
Theresa Matthews,48,Jackieview,Speed-Oriented,Rural Roads,Commercial,"{'incident_type': 'Maintenance', 'details': 'Amount compare accept order since fast.', 'date': datetime.date(2021, 1, 3), 'service_provider': 'Best Group'}","{'system_settings': {'preference': 'High Privacy', 'customizations': 'Suddenly of sense election break.'}, 'customer_support': {'inquiry_type': 'Feature Inquiry', 'content': 'Popular mouth add she.', 'date': datetime.date(2023, 5, 25)}}"
Christopher Cohen,52,New Maria,Speed-Oriented,Mixed,Personal,"{'incident_type': 'Maintenance', 'details': 'Today decide worker particular.', 'date': datetime.date(2021, 5, 11), 'service_provider': None}","{'system_settings': {'preference': 'Full Sharing', 'customizations': 'Manager possible song his.'}, 'customer_support': {'inquiry_type': 'Data Usage', 'content': 'Station worker at seat.', 'date': datetime.date(2023, 1, 8)}}"
Joe Nichols,55,West Jeremy,Defensive,Highway,Personal,"{'incident_type': 'Accident', 'details': 'News consider check media.', 'date': datetime.date(2020, 2, 27), 'service_provider': None}","{'system_settings': {'preference': 'High Privacy', 'customizations': 'Mention left build fill test which remember majority.'}, 'customer_support': {'inquiry_type': 'Feature Inquiry', 'content': 'At inside prepare smile short within.', 'date': datetime.date(2023, 3, 5)}}"
John Morgan,69,Hendersonbury,Aggressive,Highway,Business,"{'incident_type': 'Emergency Call', 'details': 'Congress attorney role understand election.', 'date': datetime.date(2020, 7, 22), 'service_provider': None}","{'system_settings': {'preference': 'Balanced', 'customizations': 'To really thought born have fund course.'}, 'customer_support': {'inquiry_type': 'Feature Inquiry', 'content': 'Minute election sport between make.', 'date': datetime.date(2023, 5, 29)}}"
Jessica Hogan,45,South Kyle,Speed-Oriented,Mixed,Ride Share,"{'incident_type': 'Emergency Call', 'details': 'Support attorney much center significant friend network.', 'date': datetime.date(2022, 11, 6), 'service_provider': 'Williams, Smith and Parker'}","{'system_settings': {'preference': 'High Privacy', 'customizations': 'Technology here wall phone space dog.'}, 'customer_support': {'inquiry_type': 'Feature Inquiry', 'content': 'Win piece possible stay consumer participant player yes.', 'date': datetime.date(2023, 4, 5)}}"
Melinda Brown,39,Palmerstad,Eco-Friendly,Mixed,Business,"{'incident_type': 'System Error', 'details': 'Air whatever view fly.', 'date': datetime.date(2021, 12, 4), 'service_provider': 'Kelly Ltd'}","{'system_settings': {'preference': 'High Privacy', 'customizations': 'Bed defense half water control push.'}, 'customer_support': {'inquiry_type': 'Feature Inquiry', 'content': 'Film condition scientist too audience concern fear.', 'date': datetime.date(2023, 5, 22)}}"
Katherine Reynolds,35,North Calebview,Safety-Conscious,Highway,Commercial,"{'incident_type': 'Accident', 'details': 'Choose treat look treatment care.', 'date': datetime.date(2020, 3, 15), 'service_provider': None}","{'system_settings': {'preference': 'Full Sharing', 'customizations': 'Save provide wear generation drive leave allow.'}, 'customer_support': {'inquiry_type': 'Complaint', 'content': 'Charge listen training scientist.', 'date': datetime.date(2023, 6, 4)}}"
Valerie Turner,34,East Mistyton,Safety-Conscious,Mixed,Business,"{'incident_type': 'Maintenance', 'details': 'Doctor particularly on way father.', 'date': datetime.date(2022, 8, 29), 'service_provider': 'Gutierrez, Fields and Stephens'}","{'system_settings': {'preference': 'High Privacy', 'customizations': 'Second yet history wait.'}, 'customer_support': {'inquiry_type': 'Feature Inquiry', 'content': 'Service fear decision hundred particularly improve.', 'date': datetime.date(2023, 8, 31)}}"
Christopher Ramirez,36,Lake Michaelshire,Defensive,Highway,Business,"{'incident_type': 'System Error', 'details': 'Tell character manage while.', 'date': datetime.date(2020, 8, 2), 'service_provider': 'Fleming, Cline and Allen'}","{'system_settings': {'preference': 'Balanced', 'customizations': 'Region support growth defense remain arm.'}, 'customer_support': {'inquiry_type': 'Complaint', 'content': 'Arm thought certainly across American unit.', 'date': datetime.date(2023, 2, 14)}}"
Daniel Molina,54,East Mark,Speed-Oriented,Mixed,Ride Share,"{'incident_type': 'Maintenance', 'details': 'Policy small build partner career card.', 'date': datetime.date(2023, 10, 11), 'service_provider': 'Wilson and Sons'}","{'system_settings': {'preference': 'Balanced', 'customizations': 'Physical look safe learn today somebody.'}, 'customer_support': {'inquiry_type': 'Complaint', 'content': 'Kitchen thousand glass analysis.', 'date': datetime.date(2023, 2, 6)}}"
William Wheeler,29,Christopherfort,Speed-Oriented,Urban Traffic,Personal,"{'incident_type': 'System Error', 'details': 'Senior low without general.', 'date': datetime.date(2023, 8, 26), 'service_provider': 'Glover-Torres'}","{'system_settings': {'preference': 'Full Sharing', 'customizations': 'Cold against ever her skin scene.'}, 'customer_support': {'inquiry_type': 'Complaint', 'content': 'News base rest two series true car.', 'date': datetime.date(2023, 2, 24)}}"
Daniel Duncan,70,South Nicholasbury,Safety-Conscious,Mixed,Business,"{'incident_type': 'System Error', 'details': 'Explain away focus teach others grow.', 'date': datetime.date(2023, 6, 24), 'service_provider': None}","{'system_settings': {'preference': 'Full Sharing', 'customizations': 'Personal statement black live.'}, 'customer_support': {'inquiry_type': 'Feature Inquiry', 'content': 'Degree ask PM senior figure.', 'date': datetime.date(2023, 8, 6)}}"
Michele Chapman,26,Lake Richard,Speed-Oriented,Highway,Business,"{'incident_type': 'Accident', 'details': 'Quality hundred today process.', 'date': datetime.date(2020, 1, 22), 'service_provider': 'Phillips-Johnson'}","{'system_settings': {'preference': 'Balanced', 'customizations': 'Film per like view image close southern.'}, 'customer_support': {'inquiry_type': 'Feature Inquiry', 'content': 'Go cut culture social thousand.', 'date': datetime.date(2023, 3, 28)}}"
Tammy Jones,42,Nicoleview,Eco-Friendly,Urban Traffic,Commercial,"{'incident_type': 'Accident', 'details': 'Experience act foreign program.', 'date': datetime.date(2021, 11, 22), 'service_provider': 'Beard-Berg'}","{'system_settings': {'preference': 'Full Sharing', 'customizations': 'Without respond evening front campaign.'}, 'customer_support': {'inquiry_type': 'Data Usage', 'content': 'Indicate step blue control work through type.', 'date': datetime.date(2023, 9, 1)}}"
Melissa Cole,39,Lake Seanfurt,Speed-Oriented,Highway,Commercial,"{'incident_type': 'System Error', 'details': 'Size majority per type.', 'date': datetime.date(2023, 4, 17), 'service_provider': 'Rodriguez-Zhang'}","{'system_settings': {'preference': 'High Privacy', 'customizations': 'Today behind whole ten people despite might.'}, 'customer_support': {'inquiry_type': 'Feature Inquiry', 'content': 'Public return how small.', 'date': datetime.date(2023, 5, 30)}}"
Adam Hill,36,South Michael,Safety-Conscious,Urban Traffic,Ride Share,"{'incident_type': 'System Error', 'details': 'Set policy later town trip they try.', 'date': datetime.date(2020, 7, 3), 'service_provider': 'Villegas and Sons'}","{'system_settings': {'preference': 'High Privacy', 'customizations': 'Style pull make tree administration even ok.'}, 'customer_support': {'inquiry_type': 'Privacy Concern', 'content': 'Strategy drug dream.', 'date': datetime.date(2023, 5, 27)}}"
Sara Rubio,32,Deniseberg,Speed-Oriented,Mixed,Commercial,"{'incident_type': 'Accident', 'details': 'Hard travel offer bar sort man.', 'date': datetime.date(2022, 8, 29), 'service_provider': None}","{'system_settings': {'preference': 'High Privacy', 'customizations': 'Agreement stand back organization during cost.'}, 'customer_support': {'inquiry_type': 'Feature Inquiry', 'content': 'College eye benefit camera.', 'date': datetime.date(2023, 9, 19)}}"
Connie Copeland,60,New Jody,Speed-Oriented,Rural Roads,Commercial,"{'incident_type': 'Maintenance', 'details': 'Thousand father wind major easy.', 'date': datetime.date(2022, 3, 16), 'service_provider': None}","{'system_settings': {'preference': 'High Privacy', 'customizations': 'Include voice network edge of for bank worry.'}, 'customer_support': {'inquiry_type': 'Complaint', 'content': 'Rest little exist officer.', 'date': datetime.date(2023, 7, 13)}}"
Caitlin Perez,29,Sarahborough,Eco-Friendly,Highway,Personal,"{'incident_type': 'System Error', 'details': 'Back grow fast unit.', 'date': datetime.date(2022, 5, 11), 'service_provider': None}","{'system_settings': {'preference': 'Balanced', 'customizations': 'State near base standard growth into morning.'}, 'customer_support': {'inquiry_type': 'Complaint', 'content': 'Total truth window chance season.', 'date': datetime.date(2023, 4, 5)}}"
Kevin Cummings,68,Robinsonberg,Defensive,Rural Roads,Commercial,"{'incident_type': 'Emergency Call', 'details': 'Score ground around above visit visit any pay.', 'date': datetime.date(2022, 3, 31), 'service_provider': None}","{'system_settings': {'preference': 'Full Sharing', 'customizations': 'Interview parent can them media far carry.'}, 'customer_support': {'inquiry_type': 'Complaint', 'content': 'Upon growth near agent five.', 'date': datetime.date(2023, 9, 14)}}"
Tanya Owens,42,Port Rachelland,Eco-Friendly,Rural Roads,Ride Share,"{'incident_type': 'Emergency Call', 'details': 'New compare a professor here heart idea.', 'date': datetime.date(2021, 2, 16), 'service_provider': None}","{'system_settings': {'preference': 'Full Sharing', 'customizations': 'Religious full stock else admit send successful democratic.'}, 'customer_support': {'inquiry_type': 'Data Usage', 'content': 'Threat recent group discussion citizen sport almost.', 'date': datetime.date(2023, 5, 28)}}"
Matthew Hurley,67,East Connie,Aggressive,Highway,Ride Share,"{'incident_type': 'Maintenance', 'details': 'Talk activity energy difference.', 'date': datetime.date(2021, 2, 14), 'service_provider': 'Bennett PLC'}","{'system_settings': {'preference': 'High Privacy', 'customizations': 'Remember civil process once claim.'}, 'customer_support': {'inquiry_type': 'Data Usage', 'content': 'Toward on wear remain player gun maintain.', 'date': datetime.date(2023, 7, 27)}}"
Kara Short,46,North Ashleyfurt,Safety-Conscious,Highway,Ride Share,"{'incident_type': 'System Error', 'details': 'Relate manage day director half.', 'date': datetime.date(2021, 11, 14), 'service_provider': 'Chapman-Jones'}","{'system_settings': {'preference': 'High Privacy', 'customizations': 'Enough pull agreement bank bill.'}, 'customer_support': {'inquiry_type': 'Complaint', 'content': 'Want American officer listen.', 'date': datetime.date(2023, 5, 17)}}"
Dylan Hansen,24,Mcbrideshire,Defensive,Rural Roads,Personal,"{'incident_type': 'Maintenance', 'details': 'Attorney level effect six.', 'date': datetime.date(2021, 6, 10), 'service_provider': None}","{'system_settings': {'preference': 'Full Sharing', 'customizations': 'Trade group visit wide report.'}, 'customer_support': {'inquiry_type': 'Privacy Concern', 'content': 'Wide within accept take such visit.', 'date': datetime.date(2023, 9, 27)}}"
Christian Dixon,60,Robertton,Aggressive,Urban Traffic,Ride Share,"{'incident_type': 'Accident', 'details': 'Class wife first soon.', 'date': datetime.date(2022, 1, 28), 'service_provider': None}","{'system_settings': {'preference': 'High Privacy', 'customizations': 'Last economy drug day stand.'}, 'customer_support': {'inquiry_type': 'Privacy Concern', 'content': 'Participant break realize plan quite factor guy white.', 'date': datetime.date(2023, 8, 22)}}"
